tournament_endpoint,tournament_division_id,tournament_id,tournament_name,time_period,Location,tournament_division_name,last_update,game_date,game_id,game_time,location_name,home_team_id,away_team_id,away_team,away_score,home_score,home_team
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2018120516181398899fae8005f6944,h2018120517041277672721b2976d043,h2018120516181398899fae8005f6944,T3 High School Winter League,"Jan 5 - Feb 23, 2019","Branchburg, NJ",White,Sat 2/23/2019 10:12 PM,"Saturday, January 05, 2019",P2,8:30 AM,Branchburg Sports Complex,h20181205171452963682cacef67e240,h2018120517141665296468d96332e4a,North 2023 Black,10,9,Central 2023
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2018120516181398899fae8005f6944,h2018120517041277672721b2976d043,h2018120516181398899fae8005f6944,T3 High School Winter League,"Jan 5 - Feb 23, 2019","Branchburg, NJ",White,Sat 2/23/2019 10:12 PM,"Saturday, January 05, 2019",P6,9:30 AM,Branchburg Sports Complex,h2018120517122091771424326690b4a,h20181205171452963682cacef67e240,South Brunswick,5,16,North 2023 Black
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2018120516181398899fae8005f6944,h2018120517044945691ff29f1638a4c,h2018120516181398899fae8005f6944,T3 High School Winter League,"Jan 5 - Feb 23, 2019","Branchburg, NJ",Red,Sat 2/23/2019 10:13 PM,"Saturday, January 05, 2019",P3,2:25 PM,Branchburg Sports Complex,h20181205171105935bc77d30dcc9745,h20181205170630859a360745ff3884e,Central 2022,9,8,Velocity
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2018120516181398899fae8005f6944,h2018120517041277672721b2976d043,h2018120516181398899fae8005f6944,T3 High School Winter League,"Jan 5 - Feb 23, 2019","Branchburg, NJ",White,Sat 2/23/2019 10:12 PM,"Saturday, January 05, 2019",P1,10:30 AM,Branchburg Sports Complex,h201812051711332331c139cde463d48,h2018120517122091771424326690b4a,Bridgewater White,9,10,South Brunswick
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2018120516181398899fae8005f6944,h2018120517044945691ff29f1638a4c,h2018120516181398899fae8005f6944,T3 High School Winter League,"Jan 5 - Feb 23, 2019","Branchburg, NJ",Red,Sat 2/23/2019 10:13 PM,"Saturday, January 05, 2019",P5,3:20 PM,Branchburg Sports Complex,h2018120517104570286f0dafadb9444,h20181205170644133b5d44a3c6b7e46,North 2022 Black,10,7,Voorhees
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2018120516181398899fae8005f6944,h2018120517041277672721b2976d043,h2018120516181398899fae8005f6944,T3 High School Winter League,"Jan 5 - Feb 23, 2019","Branchburg, NJ",White,Sat 2/23/2019 10:12 PM,"Saturday, January 05, 2019",P5,1:30 PM,Branchburg Sports Complex,h201812051713144137997012a81c845,h2018120517140454820e32c98661b4e,Phillipsburg,6,15,Central 2021 Blue
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2018120516181398899fae8005f6944,h2018120517044945691ff29f1638a4c,h2018120516181398899fae8005f6944,T3 High School Winter League,"Jan 5 - Feb 23, 2019","Branchburg, NJ",Red,Sat 2/23/2019 10:13 PM,"Saturday, January 05, 2019",P2,5:10 PM,Branchburg Sports Complex,h20181205170826532f157b946bd274e,h2018120517080602490e40553ee124c,N20/Westfield,7,18,New Providence
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2018120516181398899fae8005f6944,h2018120517041277672721b2976d043,h2018120516181398899fae8005f6944,T3 High School Winter League,"Jan 5 - Feb 23, 2019","Branchburg, NJ",White,Sat 2/23/2019 10:12 PM,"Saturday, January 05, 2019",P4,4:15 PM,Branchburg Sports Complex,h201812051714301217ae9f344c9ca43,h201812051713542477cdc941f672943,North 2022 Blue,11,2,Scotch Plains
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2018120516181398899fae8005f6944,h2018120517044945691ff29f1638a4c,h2018120516181398899fae8005f6944,T3 High School Winter League,"Jan 5 - Feb 23, 2019","Branchburg, NJ",Red,Sat 2/23/2019 10:13 PM,"Saturday, January 05, 2019",P4,6:05 PM,Branchburg Sports Complex,h201812051709388079af2b3e4ed454c,h201812051708437331a5f3f8678064e,Nazareth,5,14,Bridgewater Black
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2018120516181398899fae8005f6944,h2018120517041277672721b2976d043,h2018120516181398899fae8005f6944,T3 High School Winter League,"Jan 5 - Feb 23, 2019","Branchburg, NJ",White,Sat 2/23/2019 10:12 PM,"Saturday, January 05, 2019",P3,7:55 PM,Branchburg Sports Complex,h201812051712083470f3da63a54a944,h20181205171233526cfecb6b51b7f4d,Lata/North Hunterdon,14,6,WaHills
