Id,event_url,event_name,event_date,event_location,event_gender,logo_url,event_website,event_type,player_age_range,created_by,created_datetime
1,https://www.connectlax.com/event/3d_denver_shootout_2019,3d Denver Shootout,Jun 14-16 '19,"Commerce City, CO",Co-ed's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3081-43610.jpg,https://3dlacrosse.com/tournaments,Tournament,13 - 18,spider,20190308
2,https://www.connectlax.com/event/adrenaline_western_shootout_2019,Adrenaline Western Shootout,Jul 13-14 '19,"Colorado Springs, CO",Men's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-2982-43416.jpg,https://www.adrln.com/shop/events/?event_category=events/,Tournament,13 - 18,spider,20190308
3,https://www.connectlax.com/event/adrenaline_tinseltown_throwdown_2019,Adrenaline Tinseltown Throwdown,Jul 20-21 '19,"Irvine, CA",Men's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-2983-43417.jpg,https://www.adrln.com/shop/events/?event_category=events/,Tournament,13 - 18,spider,20190308
4,https://www.connectlax.com/event/3d_riptide_classic_2019,3d Riptide Classic,Jun 29-30 '19,"Irvine, CA",Co-ed's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3085-43614.jpg,https://3dlacrosse.com/tournaments,Tournament,13 - 18,spider,20190308
5,https://www.connectlax.com/event/americas_finest_rivalry_boys,Americas Finest Rivalry Boys,Jun 15-16 '19,"Del Mar, CA",Men's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-2972-43407.jpg,https://www.adrln.com/shop/events/?event_category=events/,Tournament,13 - 18,spider,20190308
6,https://www.connectlax.com/event/amplify-exposure-series_2019,Amplify Exposure Series,Jul 20-21 '19,"Milwaukee, WI",Men's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3165-43722.jpg,http://www.amplifylax.com/tournaments/midwest-exposure-series/,Tournament,13 - 18,spider,20190308
7,https://www.connectlax.com/event/almost_heaven_claxic_boys,Almost Heaven Claxic Boys,Jun 8-9 '19,"Dunbar, WV",Men's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3215-43840.jpg,https://laxusa.com/almost-heaven-claxic/,Tournament,13 - 18,spider,20190308
8,https://www.connectlax.com/event/almost_heaven_claxic_girls,Almost Heaven Claxic Girls,Jun 8-9 '19,"Dunbar, WV",Women's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-3216-43839.jpg,https://laxusa.com/almost-heaven-claxic/,Tournament,13 - 18,spider,20190308
9,https://www.connectlax.com/event/baltimore_summer_kickoff_session_i_2019,Baltimore Summer Kickoff Session I,Jun 8-9 '19,"Baltimore, MD",Men's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb--28253.jpg,http://baltimoresummerkickoff.com/,Tournament,13 - 18,spider,20190308
10,https://www.connectlax.com/event/americas_finest_rivalry_girls,Americas Finest Rivalry Girls,Jun 15-16 '19,"Del Mar, CA",Women's 13-18,https://s3.amazonaws.com/connectsports-prod/pics/thumb-2973-43408.jpg,https://www.adrln.com/shop/events/?event_category=events/,Tournament,13 - 18,spider,20190308
