tournament_endpoint,tournament_division_id,tournament_id,tournament_name,time_period,Location,tournament_division_name,last_update,game_date,game_id,game_time,location_name,away_team_id,away_team,away_score,home_score,home_team
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2019011419534095082220503181846,h201901141953409814a07c0cb3b4640,h2019011419534095082220503181846,2019 Roswell Youth Lacrosse Invitational-Individual Player Registration,"Dec 20 - 21, 2021","Roswell, GA",U15 Boys,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201901251657444388eaa8e6be8df46,h201901251703555636b3176148afa4a,h201901251657444388eaa8e6be8df46,MLK Freedom,"Jan 20, 2020","Cincinnati, OH",Adult Coed,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201901251657444388eaa8e6be8df46,h20190125165744479120cea8bdc6647,h201901251657444388eaa8e6be8df46,MLK Freedom,"Jan 20, 2020","Cincinnati, OH",Boys '05/06,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190201153837255673714e1a89d4f,h20190201154718140c3f5b464223640,h20190201153837255673714e1a89d4f,Tourney Machine Practice,"Nov 1 - 3, 2030","Minneapolis, MN",Varsity A,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190216120855813fa44eca896b241,h201902161208558584350eb8d5ed84e,h20190216120855813fa44eca896b241,Presidents' Day Rush,"Feb 17, 2020","Cincinnati, OH",Girls High School,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190201153837255673714e1a89d4f,h2019020115471823150c05c6c584a49,h20190201153837255673714e1a89d4f,Tourney Machine Practice,"Nov 1 - 3, 2030","Minneapolis, MN",Varsity B,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201901251657444388eaa8e6be8df46,h201901251657444635471df1dd2e841,h201901251657444388eaa8e6be8df46,MLK Freedom,"Jan 20, 2020","Cincinnati, OH",Boys High School,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h20190201153837255673714e1a89d4f,h201902011547180685a43756e0ed74b,h20190201153837255673714e1a89d4f,Tourney Machine Practice,"Nov 1 - 3, 2030","Minneapolis, MN",Junior Varsity B,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h201901251657444388eaa8e6be8df46,h201901251657444676b1862a5f8264e,h201901251657444388eaa8e6be8df46,MLK Freedom,"Jan 20, 2020","Cincinnati, OH",Boys '07,,,,,,,,,,
https://tourneymachine.com/Public/Results/Tournament.aspx?IDTournament=h2018103102440326152e82461c46d45,h20181031024403293b7e49bba2ad540,h2018103102440326152e82461c46d45,Future Sluggers ,"Sep 7 - 8, 2019","Montoursville, PA • Williamsport, PA",18U,,,,,,,,,,
